Dia - Mes,Temperatura media,Fecha Momento minima,Temperatura minima,Fecha Momento maxima,Temperatura maxima
190808,14.1,940808,9.2,990808,20.9
190809,13.9,940809,7.8,970809,22.2
190810,14.0,090810,9.7,970810,25.3
190811,14.1,910811,8.2,970811,27.0
190812,14.0,950812,8.4,970812,20.7
190813,14.0,950813,9.7,190813,20.3
190814,14.0,980814,7.0,970814,21.2
190815,13.9,980815,8.3,970815,19.7
190816,14.2,920816,8.8,970816,22.7
190817,14.0,030817,9.3,970817,23.2
190818,14.0,040818,8.0,970818,20.6
190819,14.0,930819,7.8,970819,19.3
190820,13.9,900820,10.2,970820,19.2
190821,14.0,990821,9.5,170821,19.7
190822,14.1,920822,8.9,170822,20.2
190823,14.0,090823,9.2,960823,19.5
190824,14.1,030824,8.4,970824,20.5
190825,14.2,980825,9.0,040825,20.5
190826,14.1,980826,7.3,020826,26.3
190827,14.4,070827,8.5,150827,21.9
190828,14.3,070828,9.3,130828,21.1
190829,14.5,070829,10.4,010829,21.6
190830,14.5,980830,8.9,040830,20.5
190831,14.4,050831,8.1,110831,20.6
190901,14.3,050901,8.3,110901,19.9
190902,14.4,940902,8.6,990902,20.2
190903,14.4,100903,9.0,180903,20.1
190904,14.4,070904,8.8,180904,20.8
190905,14.4,080905,9.5,970905,21.8
190906,14.5,080906,8.5,970906,20.2
190907,14.5,980907,8.4,940907,20.4
190908,14.6,980908,7.5,940908,21.7
190909,14.5,030909,9.3,130909,24.0
190910,14.5,030910,7.1,060910,19.5
190911,14.4,980911,9.9,150911,19.5
190912,14.5,140912,10.0,040912,20.6
190913,14.5,010913,8.6,110913,21.1
190914,14.4,170914,9.0,150914,20.8
190915,14.5,050915,9.6,150915,21.0
190916,14.5,050916,9.6,960916,21.2
190917,14.6,100917,9.5,970917,25.0
190918,14.6,100918,9.8,970918,24.2
190919,14.6,120919,10.1,970919,20.4
190920,14.7,130920,9.0,150920,20.5
190921,14.9,120921,11.0,.,21.1
190922,14.9,990922,10.0,000922,21.1
190923,14.9,070923,10.3,940923,20.4
190924,14.9,070924,11.1,020924,20.9
190925,14.8,050925,9.3,150925,20.8
190926,15.0,040926,10.9,970926,22.1
190927,15.1,070927,11.3,940927,21.2
190928,15.1,090927,11.8,100928,20.0
190929,15.0,900929,9.5,150929,21.0
190930,15.3,010930,9.9,970930,20.3
191001,15.0,991001,11.0,971001,22.0
191002,15.0,171002,10.9,961002,20.7
191003,15.2,071003,10.2,111003,20.6
191004,15.2,101004,9.9,171004,21.1
191005,15.2,971005,12.2,941005,23.6
191006,15.4,911006,11.1,161006,22.1
191007,15.3,901007,10.6,941007,21.0
191008,15.3,901008,9.4,011008,21.1
191009,15.4,901009,10.7,011009,20.7
191010,15.4,901010,9.2,941010,21.3
